cluster,region,requests,failures,fail_pct,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms
cluster1,DE,350,0,0.0,62.2,54.7,67.6,109.7,198.3
cluster2,FR,299,0,0.0,62.1,54.8,71.3,108.5,212.1
cluster3,PL,241,0,0.0,60.6,55.1,68.2,105.1,167.4
