cluster,region,requests,failures,fail_pct,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms
cluster1,DE,42805,88,0.21,270.2,50.0,89.7,150.9,850.9
cluster2,FR,40837,0,0.0,77.0,49.3,87.1,162.8,767.6
cluster3,PL,29541,1,0.0,62.1,48.0,60.2,76.1,552.8
