timestamp,cluster1_count,cluster1_avg_ms,cluster1_p95_ms,cluster2_count,cluster2_avg_ms,cluster2_p95_ms,cluster3_count,cluster3_avg_ms,cluster3_p95_ms
18:08:00,88,60.4,119.0,78,61.1,151.2,55,61.7,115.1
18:08:10,99,47.1,52.9,79,48.0,60.9,65,48.0,54.9
18:08:20,94,49.5,61.8,81,47.7,61.1,58,49.1,64.3
18:08:30,94,50.1,62.2,78,49.1,71.8,63,51.4,73.5
18:08:40,93,50.6,62.8,79,47.1,56.2,63,49.8,61.0
18:08:50,102,51.0,66.5,79,48.7,61.2,58,50.6,71.7
18:09:00,93,50.2,63.3,84,48.4,61.2,62,50.2,65.2
18:09:10,96,49.1,61.9,80,47.0,57.6,65,47.6,55.0
18:09:20,94,47.3,52.4,84,47.8,60.5,66,47.5,53.5
18:09:30,98,50.8,72.4,83,50.2,65.7,62,49.8,64.8
18:09:40,93,48.3,60.4,81,47.7,60.8,65,47.6,56.0
18:09:50,101,50.1,62.6,84,47.7,58.6,64,47.8,61.1
18:10:00,98,47.5,53.9,84,48.9,61.5,60,47.5,55.7
18:10:10,93,48.9,61.7,88,48.3,59.2,65,49.5,59.8
18:10:20,98,48.7,62.0,78,47.6,58.9,63,49.1,60.7
18:10:30,99,48.5,62.5,81,48.5,60.5,63,49.7,61.1
18:10:40,99,47.5,54.4,81,47.1,52.9,64,48.4,60.6
18:10:50,95,47.3,55.3,84,47.7,56.4,64,48.4,61.5
18:11:00,103,48.6,63.5,90,47.4,56.1,71,47.8,62.5
18:11:10,132,47.3,62.3,116,47.4,63.0,86,47.3,62.0
18:11:20,149,48.0,60.6,132,47.2,56.2,88,47.2,55.7
18:11:30,171,49.8,62.8,156,51.4,73.7,111,50.5,71.2
18:11:40,195,50.4,66.7,170,49.7,65.0,126,49.8,63.1
18:11:50,216,50.3,63.3,190,51.0,69.1,134,50.9,64.2
18:12:00,233,49.6,60.5,206,48.3,58.6,148,49.4,63.9
18:12:10,253,50.4,64.5,214,47.9,55.4,163,48.8,61.4
18:12:20,272,49.1,61.3,243,48.7,59.4,182,49.9,63.9
18:12:30,275,161.2,890.3,266,49.2,62.5,183,50.1,61.5
18:12:40,313,98.9,497.7,279,51.5,66.3,202,50.2,61.6
18:12:50,314,211.5,1017.0,301,52.4,70.2,211,50.9,62.1
18:13:00,354,50.0,67.1,308,48.8,56.6,232,48.9,60.5
18:13:10,387,49.1,71.8,329,47.8,57.8,236,48.2,58.6
18:13:20,419,52.7,85.6,357,53.7,90.7,257,47.5,54.6
18:13:30,422,52.0,70.9,375,70.1,170.1,268,50.9,66.7
18:13:40,447,52.6,76.5,389,71.8,190.7,287,49.7,59.8
18:13:50,452,132.8,656.6,401,70.3,208.3,301,52.1,64.1
18:14:00,492,58.9,104.9,394,137.1,760.5,310,50.8,63.9
18:14:10,451,144.2,675.3,423,55.9,85.8,300,54.6,91.1
18:14:20,462,136.9,745.8,415,51.2,68.1,306,50.0,58.5
18:14:30,482,54.3,82.5,412,66.3,152.0,298,50.7,62.9
18:14:40,477,59.8,111.0,425,54.7,93.7,304,52.6,76.1
18:14:50,459,55.7,92.7,411,109.0,548.8,303,53.8,82.6
18:15:00,453,74.0,179.5,413,53.3,72.8,296,51.8,64.5
18:15:10,464,178.7,770.8,417,51.2,77.1,309,49.0,62.8
18:15:20,472,165.4,838.1,427,55.2,92.0,304,52.9,74.6
18:15:30,469,56.4,85.7,404,155.5,790.5,310,51.7,66.3
18:15:40,477,104.7,467.7,403,96.2,362.8,301,51.5,65.3
18:15:50,475,73.5,154.4,413,77.6,246.3,281,207.0,830.9
18:16:00,462,201.4,875.7,421,72.4,170.9,296,87.6,389.1
18:16:10,448,118.1,549.0,425,66.6,104.1,307,52.0,65.5
18:16:20,466,140.3,637.6,404,53.3,77.4,302,51.4,64.6
18:16:30,473,53.9,81.1,424,52.4,81.4,324,51.6,67.5
18:16:40,484,54.6,87.9,429,51.1,66.1,301,51.6,62.5
18:16:50,492,55.7,86.4,392,147.3,877.8,300,50.7,61.5
18:17:00,480,56.9,80.5,414,95.8,408.6,285,105.8,566.2
18:17:10,476,54.4,84.4,401,137.6,673.4,323,53.0,72.0
18:17:20,470,134.8,735.9,425,58.1,90.0,305,54.7,74.2
18:17:30,474,56.9,91.4,400,177.7,965.1,294,53.0,72.3
18:17:40,474,58.2,93.3,425,51.2,68.7,300,50.9,63.1
18:17:50,485,55.5,95.9,408,129.6,602.9,311,52.0,67.8
18:18:00,474,53.4,77.5,413,52.8,70.8,299,53.0,80.0
