cluster,region,requests,failures,fail_pct,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms
cluster1,DE,53535,0,0.0,274.7,222.2,519.0,667.6,1118.7
cluster2,FR,47236,0,0.0,256.8,212.4,479.6,594.9,1044.2
cluster3,PL,35942,0,0.0,127.1,89.1,192.9,320.5,888.6
