timestamp,cluster1_count,cluster1_avg_ms,cluster1_p95_ms,cluster2_count,cluster2_avg_ms,cluster2_p95_ms,cluster3_count,cluster3_avg_ms,cluster3_p95_ms
22:12:40,64,78.5,149.6,52,75.6,122.8,41,76.9,142.2
22:12:50,103,57.4,66.9,82,57.1,63.7,64,56.9,63.7
22:13:00,94,57.2,65.9,79,58.4,69.1,64,57.6,66.8
22:13:10,98,56.5,67.3,79,59.4,75.8,60,56.9,64.0
22:13:20,104,57.7,65.7,74,58.1,64.8,59,57.6,67.7
22:13:30,93,57.2,65.4,81,57.2,63.2,63,56.8,64.8
22:13:40,100,61.9,77.7,83,56.3,62.4,62,57.3,64.4
22:13:50,101,56.0,64.9,80,56.0,63.5,67,55.1,63.6
22:14:00,93,57.3,67.3,85,56.5,64.7,60,56.8,65.0
22:14:10,101,57.0,66.2,85,56.0,61.8,62,56.7,65.9
22:14:20,96,58.8,72.7,74,59.3,77.1,65,57.5,62.8
22:14:30,91,149.2,417.7,76,144.3,501.7,60,129.4,406.9
22:14:40,100,60.3,80.1,95,58.6,69.2,61,61.2,86.7
22:14:50,127,60.4,83.4,112,86.5,415.5,88,60.2,80.8
22:15:00,156,58.6,68.9,144,59.5,76.8,97,59.6,78.6
22:15:10,184,62.0,78.9,155,60.0,76.8,115,61.6,85.7
22:15:20,212,58.5,72.5,179,62.3,100.1,136,60.3,76.8
22:15:30,228,58.0,66.1,205,57.7,73.0,145,57.4,66.6
22:15:40,262,58.0,70.6,233,57.9,68.6,160,57.6,68.9
22:15:50,281,59.2,68.9,261,58.2,66.8,171,59.2,70.5
22:16:00,327,60.2,73.5,286,59.1,68.9,207,60.3,72.8
22:16:10,341,63.3,94.8,306,67.9,111.9,211,59.2,69.2
22:16:20,378,82.6,186.6,334,60.3,76.6,231,59.9,72.8
22:16:30,374,120.4,554.4,341,61.6,79.4,251,59.0,70.2
22:16:40,417,64.0,87.2,364,60.4,77.3,264,59.6,71.7
22:16:50,449,92.4,261.1,395,64.5,86.2,273,61.8,87.7
22:17:00,440,188.6,804.5,425,61.9,83.7,300,63.2,88.1
22:17:10,512,62.8,88.2,442,63.1,94.5,310,60.5,76.3
22:17:20,534,67.1,110.6,436,67.5,106.7,331,60.6,74.4
22:17:30,547,67.4,102.3,481,214.9,929.3,350,67.0,105.8
22:17:40,575,70.5,113.7,475,123.1,477.7,357,60.1,72.4
22:17:50,574,66.8,100.0,506,72.1,122.5,359,62.0,75.9
22:18:00,575,71.9,117.0,500,68.8,107.5,357,106.4,576.2
22:18:10,471,116.0,282.0,495,94.0,176.3,347,104.6,339.6
22:18:20,567,328.1,963.0,504,70.6,109.9,358,110.6,370.5
22:18:30,567,137.5,640.1,497,67.7,103.7,344,106.6,278.6
22:18:40,551,151.3,633.0,502,74.1,126.8,347,143.9,704.0
22:18:50,366,117.5,469.7,307,66.1,92.3,240,66.0,97.0
