timestamp,cluster1_count,cluster1_avg_ms,cluster1_p95_ms,cluster2_count,cluster2_avg_ms,cluster2_p95_ms,cluster3_count,cluster3_avg_ms,cluster3_p95_ms
22:24:20,42,83.3,142.0,36,87.6,125.4,28,81.7,118.8
22:24:30,96,57.3,64.7,80,57.6,63.4,62,60.7,72.0
22:24:40,87,58.3,70.3,86,57.8,63.4,66,58.0,63.4
22:24:50,90,57.6,68.2,81,58.1,67.6,65,57.2,63.7
22:25:00,94,58.7,68.0,81,58.0,66.0,60,57.9,70.9
22:25:10,103,58.1,67.7,82,57.5,63.9,64,57.6,64.8
22:25:20,93,59.1,74.2,82,59.2,69.0,64,57.6,61.8
22:25:30,96,58.8,72.5,83,65.5,71.7,62,58.5,67.1
22:25:40,94,59.2,71.5,84,58.8,66.3,61,58.7,71.1
22:25:50,99,60.1,73.1,88,59.7,70.1,64,59.0,67.2
22:26:00,88,58.8,66.7,87,57.9,63.1,63,59.4,69.3
22:26:10,99,58.8,71.9,78,58.9,72.7,63,59.2,66.2
22:26:20,94,60.4,82.8,85,60.1,70.5,62,60.2,71.5
22:26:30,123,61.1,87.9,110,59.6,74.1,77,59.1,76.5
22:26:40,154,61.6,91.4,134,60.8,82.8,96,59.6,76.8
22:26:50,178,59.3,70.6,155,60.2,75.3,104,59.6,72.5
22:27:00,203,61.1,78.3,181,60.6,74.9,128,61.1,82.5
22:27:10,230,68.8,118.3,197,70.1,130.7,149,73.3,108.9
22:27:20,249,63.0,101.6,227,61.9,82.9,161,58.3,66.7
22:27:30,284,60.7,77.6,238,60.6,74.8,180,60.1,75.8
22:27:40,301,61.3,78.9,269,86.2,311.8,194,60.4,74.4
22:27:50,328,66.1,103.4,298,66.7,106.4,210,66.1,105.4
22:28:00,361,63.8,90.1,315,67.6,108.7,224,60.1,72.3
22:28:10,373,104.6,424.9,343,67.3,78.3,242,62.0,75.5
22:28:20,414,94.1,206.2,368,61.2,78.2,261,60.3,70.8
22:28:30,442,62.8,86.5,390,62.4,83.4,283,61.6,76.4
22:28:40,458,105.9,450.0,397,159.7,748.3,293,62.0,75.3
22:28:50,509,68.0,112.4,430,64.4,98.1,316,61.7,83.9
22:29:00,522,67.7,102.4,450,71.4,124.2,324,63.7,93.3
22:29:10,550,75.8,120.7,484,66.3,100.6,346,63.6,79.4
22:29:20,571,75.1,128.9,482,106.9,333.3,358,62.9,88.6
22:29:30,544,130.8,574.4,506,71.4,109.4,367,77.9,99.5
22:29:40,573,96.9,318.9,487,140.9,612.2,361,64.0,89.1
22:29:50,541,177.9,930.8,498,64.8,94.8,363,64.1,88.7
22:30:00,531,147.8,728.7,494,71.2,124.6,344,63.5,84.0
22:30:10,563,139.2,689.4,506,69.4,108.3,365,65.7,89.7
22:30:20,533,167.6,782.0,500,85.0,199.4,362,62.8,79.4
22:30:30,556,152.9,752.9,468,183.2,843.8,354,61.9,80.6
22:30:40,562,83.2,163.3,496,70.2,112.2,355,67.7,95.3
22:30:50,184,75.5,108.2,144,303.7,990.3,116,62.9,84.3
