timestamp,cluster1_count,cluster1_avg_ms,cluster1_p95_ms,cluster2_count,cluster2_avg_ms,cluster2_p95_ms,cluster3_count,cluster3_avg_ms,cluster3_p95_ms
21:55:10,26,105.1,189.7,22,89.9,123.1,17,100.9,232.9
21:55:20,95,71.7,149.1,82,67.1,124.7,67,60.0,80.5
21:55:30,95,58.3,69.5,86,57.9,65.1,63,57.7,67.4
21:55:40,92,58.3,69.7,81,67.5,108.6,63,57.9,69.0
21:55:50,100,57.3,64.8,83,58.3,70.5,65,57.1,64.9
21:56:00,94,57.7,67.6,84,57.4,67.1,57,56.0,61.7
21:56:10,97,57.3,67.7,81,57.8,70.1,63,55.7,64.9
21:56:20,95,57.8,68.2,80,58.2,70.0,63,57.4,63.7
21:56:30,97,58.4,68.1,81,59.3,77.6,60,58.8,66.1
21:56:40,96,57.8,68.1,82,58.1,71.4,60,57.3,62.7
21:56:50,98,55.9,62.8,79,56.5,66.2,64,56.2,63.5
21:57:00,98,57.5,63.6,78,57.2,69.2,60,55.8,65.6
21:57:10,101,57.0,62.9,92,58.5,86.0,63,57.7,67.7
21:57:20,116,60.3,103.7,105,57.2,72.8,76,57.4,73.1
21:57:30,31,63.9,70.9,22,58.4,73.2,19,78.9,251.7
