cluster,region,requests,failures,fail_pct,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms
cluster1,DE,302,0,0.0,61.6,56.5,68.0,110.6,126.3
cluster2,FR,259,0,0.0,61.0,56.1,65.5,113.0,124.9
cluster3,PL,198,0,0.0,61.3,56.4,70.7,112.0,123.2
