cluster,region,requests,failures,fail_pct,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms
cluster1,DE,101670,0,0.0,288.7,225.4,569.2,733.1,1240.3
cluster2,FR,90621,4,0.0,248.2,206.9,466.1,584.9,998.3
cluster3,PL,68568,0,0.0,130.6,87.0,202.6,374.7,918.2
