timestamp,cluster1_count,cluster1_avg_ms,cluster1_p95_ms,cluster2_count,cluster2_avg_ms,cluster2_p95_ms,cluster3_count,cluster3_avg_ms,cluster3_p95_ms
22:58:10,2,124.7,126.0,1,127.0,127.0,3,122.8,123.7
22:58:20,112,80.0,132.0,100,79.6,134.6,74,75.3,131.1
22:58:30,149,60.9,67.7,127,62.6,77.1,93,62.0,73.9
22:58:40,150,61.7,74.3,134,61.3,71.3,94,61.9,72.6
22:58:50,151,61.9,72.5,133,61.4,69.9,100,62.3,72.0
22:59:00,154,61.2,75.3,129,61.2,67.0,93,61.3,76.3
22:59:10,158,60.2,66.9,139,61.2,67.1,97,61.5,72.1
22:59:20,154,63.1,73.7,125,61.2,69.0,91,61.4,71.5
22:59:30,158,63.4,69.0,136,62.4,73.8,99,62.0,69.2
22:59:40,155,61.8,71.2,134,62.4,71.3,93,63.4,76.4
22:59:50,159,61.6,68.7,140,61.8,70.7,97,61.9,73.5
23:00:00,154,62.3,68.5,132,61.4,70.3,102,61.6,70.2
23:00:10,156,61.8,71.1,135,63.6,78.6,96,64.3,79.9
23:00:20,159,60.7,68.5,127,61.5,69.5,98,61.3,66.4
23:00:30,155,60.8,69.1,128,61.2,69.5,98,60.7,66.3
23:00:40,145,60.7,69.2,134,61.6,71.4,96,61.7,69.4
23:00:50,156,61.4,68.2,132,61.9,70.8,97,61.4,71.5
23:01:00,150,60.9,69.7,131,61.4,69.3,97,61.2,70.0
23:01:10,155,61.4,70.4,136,60.9,66.6,90,62.2,74.4
23:01:20,183,63.8,76.3,165,64.5,113.4,112,64.0,79.1
23:01:30,226,63.1,78.2,198,63.8,81.0,147,63.5,76.2
23:01:40,284,63.2,73.7,246,63.6,75.7,174,64.1,76.9
23:01:50,334,63.2,75.0,290,64.5,84.8,205,63.4,74.5
23:02:00,371,64.3,80.4,333,63.8,77.6,233,63.5,75.6
23:02:10,410,63.8,85.3,369,68.4,96.4,260,63.4,71.2
23:02:20,483,66.6,108.8,415,64.4,79.0,302,64.9,88.6
23:02:30,535,77.3,113.1,463,67.7,108.0,337,65.9,88.6
23:02:40,568,67.6,106.0,510,72.7,108.7,358,65.1,80.5
23:02:50,626,73.8,122.0,546,69.1,110.0,388,65.9,82.9
23:03:00,667,71.3,111.8,593,81.4,145.7,423,69.4,104.8
23:03:10,736,77.8,132.9,630,80.1,140.2,436,96.1,255.4
23:03:20,760,84.9,141.6,647,137.8,497.5,491,71.6,113.9
