timestamp,cluster1_count,cluster1_avg_ms,cluster1_p95_ms,cluster2_count,cluster2_avg_ms,cluster2_p95_ms,cluster3_count,cluster3_avg_ms,cluster3_p95_ms
22:20:40,81,74.8,126.0,75,74.2,140.1,57,75.5,187.6
22:20:50,95,81.0,217.7,84,56.9,63.3,66,61.4,74.3
22:21:00,101,57.1,66.9,80,56.0,62.1,62,57.7,70.3
22:21:10,92,57.0,65.0,79,56.5,64.3,59,59.0,67.8
22:21:20,90,57.8,64.9,80,57.3,63.1,65,59.0,75.0
22:21:30,102,56.7,63.8,76,57.1,66.8,62,57.3,65.4
22:21:40,96,56.2,61.8,85,56.4,66.8,65,57.5,63.3
22:21:50,99,57.9,70.5,77,61.6,77.7,62,58.0,70.2
22:22:00,98,57.1,67.8,82,58.5,73.3,60,57.0,65.8
22:22:10,102,58.0,64.7,82,58.9,65.6,63,59.8,75.3
22:22:20,93,58.7,74.5,91,58.8,70.1,66,57.9,63.7
22:22:30,93,58.0,65.2,74,58.4,68.9,64,57.7,64.4
22:22:40,104,61.0,88.1,94,61.0,89.8,70,60.7,85.4
22:22:50,17,63.1,103.7,18,59.8,75.9,8,59.6,70.4
