timestamp,cluster1_count,cluster1_avg_ms,cluster1_p95_ms,cluster2_count,cluster2_avg_ms,cluster2_p95_ms,cluster3_count,cluster3_avg_ms,cluster3_p95_ms
22:00:30,10,108.8,168.6,9,107.8,144.0,5,108.9,133.8
22:00:40,98,62.8,131.3,89,66.4,143.7,63,61.0,114.6
22:00:50,98,55.3,63.5,80,55.0,61.6,64,54.9,60.8
22:01:00,99,56.8,66.8,77,57.0,64.4,67,57.8,64.4
22:01:10,98,58.1,68.6,84,56.6,64.2,61,57.3,68.0
22:01:20,100,57.6,63.0,82,57.2,64.9,63,57.8,64.5
22:01:30,78,411.9,2664.4,69,479.1,2784.9,58,336.5,2178.1
22:01:40,92,66.2,184.2,76,70.5,88.1,57,58.0,68.0
22:01:50,91,56.7,63.1,80,56.2,62.5,63,56.6,64.6
22:02:00,96,56.3,63.8,82,57.2,65.6,58,56.0,62.6
22:02:10,94,61.9,77.3,78,56.7,62.9,61,57.6,67.8
22:02:20,95,57.2,66.5,85,56.4,63.0,64,56.8,65.3
22:02:30,100,56.1,64.4,84,56.5,63.6,63,55.5,63.7
22:02:40,111,59.2,80.0,105,59.5,71.9,73,59.2,86.0
22:02:50,150,61.8,76.8,126,74.2,195.1,91,58.3,66.0
22:03:00,170,58.4,64.5,148,57.9,67.2,111,58.2,65.6
22:03:10,192,58.6,68.0,173,58.4,71.4,124,59.1,75.4
22:03:20,219,60.8,86.0,199,59.9,72.6,138,60.9,74.4
22:03:30,252,61.7,79.1,224,59.1,71.7,162,59.8,71.8
22:03:40,276,58.2,67.8,234,57.9,72.0,170,57.9,70.6
22:03:50,302,60.1,76.8,265,60.7,79.9,188,58.4,69.8
22:04:00,311,60.2,79.7,286,61.1,80.7,197,60.8,78.4
22:04:10,304,249.5,926.6,272,232.0,845.8,200,281.6,1234.9
22:04:20,374,60.7,80.9,338,60.0,71.9,238,60.0,76.8
22:04:30,405,61.2,81.8,352,63.3,89.1,259,58.7,67.7
22:04:40,427,92.2,298.8,381,57.9,70.9,269,58.5,74.3
22:04:50,453,106.2,386.1,404,59.5,78.2,287,58.1,69.6
22:05:00,480,65.2,106.7,393,193.4,748.9,295,59.2,80.2
22:05:10,517,66.1,105.2,450,60.7,82.1,325,62.3,85.1
22:05:20,558,70.4,109.9,464,65.9,95.9,342,60.2,79.6
22:05:30,561,68.6,102.6,442,222.8,1018.5,352,110.8,379.6
22:05:40,254,76.9,110.8,237,144.7,574.8,155,64.8,89.7
