cluster,region,requests,failures,fail_pct,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms
cluster1,DE,12012,0,0.0,95.4,60.7,110.8,216.6,900.3
cluster2,FR,10600,49,0.46,84.4,60.0,99.6,145.4,717.3
cluster3,PL,7717,45,0.58,63.4,59.1,71.8,82.5,115.3
