timestamp,cluster1_count,cluster1_avg_ms,cluster1_p95_ms,cluster2_count,cluster2_avg_ms,cluster2_p95_ms,cluster3_count,cluster3_avg_ms,cluster3_p95_ms
16:53:10,55,59.9,99.2,48,55.5,86.4,36,56.3,88.2
16:53:20,98,44.5,57.7,82,42.3,49.5,68,42.3,49.6
16:53:30,93,88.9,300.2,78,98.3,300.0,57,87.8,302.7
16:53:40,101,41.9,49.7,84,41.7,50.7,58,40.8,49.7
16:53:50,98,44.6,53.1,83,43.1,53.3,65,42.1,50.6
16:54:00,97,43.0,51.8,79,42.6,50.4,62,41.8,49.3
16:54:10,94,44.2,54.0,84,42.3,48.2,66,42.0,50.0
16:54:20,92,43.5,52.4,79,41.5,51.8,62,42.3,47.9
16:54:30,101,44.4,54.5,85,41.4,48.0,61,43.0,53.1
16:54:40,97,44.5,54.0,86,42.1,48.0,64,41.2,47.3
16:54:50,99,42.4,53.0,79,40.4,47.7,63,41.4,48.1
16:55:00,97,42.2,49.5,88,42.0,49.4,63,42.5,49.4
16:55:10,101,44.5,59.2,84,43.1,58.1,61,43.1,54.5
16:55:20,101,44.2,56.8,86,43.4,56.1,62,42.5,61.7
16:55:30,96,43.9,52.7,84,42.3,51.2,63,42.4,52.9
16:55:40,97,44.7,58.3,84,42.7,49.2,64,42.8,50.0
16:55:50,96,43.6,62.7,82,42.3,50.1,62,43.4,61.5
16:56:00,56,42.9,54.5,90,42.9,51.5,63,43.0,52.7
16:56:10,1,39.6,39.6,85,44.0,52.8,63,43.2,49.1
16:56:20,4,75.1,91.8,113,43.4,63.1,72,44.7,63.9
16:56:30,8,56.0,88.3,126,42.4,48.8,94,42.4,48.6
16:56:40,0,0,0,10,38.8,40.8,12,42.7,58.6
