cluster,region,requests,failures,fail_pct,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms
cluster1,DE,47176,165,0.35,87.2,50.6,100.5,234.0,866.7
cluster2,FR,41430,0,0.0,77.5,49.4,80.9,160.8,767.5
cluster3,PL,30054,0,0.0,62.5,49.3,62.4,79.2,453.4
