timestamp,cluster1_count,cluster1_avg_ms,cluster1_p95_ms,cluster2_count,cluster2_avg_ms,cluster2_p95_ms,cluster3_count,cluster3_avg_ms,cluster3_p95_ms
12:40:00,74,70.0,131.0,63,71.4,120.9,0,0,0
12:40:10,100,55.0,64.7,82,52.7,61.3,0,0,0
12:40:20,94,53.5,64.3,78,52.7,64.8,60,3965.6,20100.4
12:40:30,98,54.8,65.2,85,53.7,64.1,62,53.5,62.8
12:40:40,97,55.6,79.0,83,54.2,63.1,59,52.7,61.6
12:40:50,99,55.1,73.5,82,56.1,82.5,61,55.9,74.8
12:41:00,91,144.3,758.8,78,58.7,84.9,62,58.4,79.5
12:41:10,98,56.0,69.4,83,56.7,70.0,61,57.0,73.5
12:41:20,95,55.1,63.9,77,55.2,64.3,65,55.1,64.7
12:41:30,95,54.6,63.8,80,54.1,61.9,64,54.3,62.2
12:41:40,98,55.0,76.1,83,55.7,75.8,65,54.7,64.2
12:41:50,94,56.7,64.3,82,54.9,65.4,61,57.5,86.0
12:42:00,108,56.2,73.4,96,56.3,92.4,65,54.6,61.9
12:42:10,132,57.0,89.0,118,58.0,92.7,87,55.0,62.9
12:42:20,163,55.2,66.8,139,54.9,64.4,102,56.7,73.7
12:42:30,186,55.9,77.1,157,55.7,72.6,120,55.6,73.9
12:42:40,213,56.6,71.3,189,55.9,77.1,129,61.0,102.0
12:42:50,242,55.8,70.1,211,54.5,66.5,148,54.7,63.5
12:43:00,232,167.4,661.4,208,154.4,545.1,147,240.3,1243.7
12:43:10,279,159.0,853.5,249,54.0,63.7,184,54.8,63.6
12:43:20,317,57.5,79.0,277,59.4,85.7,202,56.7,69.5
12:43:30,335,56.7,75.2,299,56.8,74.3,215,56.7,74.6
12:43:40,373,64.8,102.5,331,56.0,69.9,237,57.8,79.7
12:43:50,407,57.6,84.3,352,57.8,89.4,248,60.5,86.4
12:44:00,402,61.4,101.8,373,148.4,776.1,263,59.2,86.5
12:44:10,440,179.8,943.0,367,151.0,746.5,280,99.3,497.0
12:44:20,480,74.4,119.2,410,66.0,101.2,300,59.0,75.3
12:44:30,467,168.9,644.8,435,137.2,660.9,316,68.5,140.0
12:44:40,538,64.8,108.9,463,56.2,71.3,338,86.4,337.8
12:44:50,561,73.3,120.4,484,65.9,99.7,339,93.3,381.5
12:45:00,534,195.9,773.7,502,58.9,86.2,340,165.6,729.9
12:45:10,539,164.4,670.3,503,63.2,101.4,354,58.0,73.1
12:45:20,568,76.4,137.9,479,128.9,761.2,358,59.9,84.1
12:45:30,571,68.9,114.8,495,120.3,574.9,352,56.9,71.8
12:45:40,569,77.3,129.0,493,113.5,560.2,362,68.9,120.1
12:45:50,529,195.0,866.7,481,176.7,817.7,366,73.2,115.1
12:46:00,566,92.2,206.4,505,61.5,95.2,362,68.7,109.0
12:46:10,550,134.1,555.4,489,139.2,595.7,340,201.1,754.1
