timestamp,cluster1_count,cluster1_avg_ms,cluster1_p95_ms,cluster2_count,cluster2_avg_ms,cluster2_p95_ms,cluster3_count,cluster3_avg_ms,cluster3_p95_ms
08:29:30,77,74.3,134.3,65,73.1,125.9,50,73.1,128.9
08:29:40,98,59.9,64.0,75,61.0,70.3,62,61.4,74.9
08:29:50,96,59.9,65.9,84,60.7,67.8,62,60.9,77.0
08:30:00,99,60.7,70.5,86,60.2,64.3,63,60.3,69.5
08:30:10,90,60.2,70.7,81,62.2,73.2,61,60.5,70.8
08:30:20,95,60.8,70.1,76,60.8,66.8,64,59.9,64.8
08:30:30,98,60.5,73.0,81,61.0,69.3,63,60.4,65.2
08:30:40,91,60.9,69.1,82,63.0,89.0,68,61.3,70.3
08:30:50,93,60.5,70.1,80,60.8,71.8,58,60.5,66.1
08:31:00,97,61.3,71.0,82,62.1,73.8,64,59.5,63.5
08:31:10,102,61.2,72.0,81,60.5,66.1,65,60.9,72.3
08:31:20,94,61.5,70.9,81,61.9,73.3,65,61.0,69.9
08:31:30,91,61.1,74.7,84,60.3,64.7,62,60.4,67.6
08:31:40,87,60.5,66.6,81,60.0,64.3,60,62.1,71.6
08:31:50,102,60.3,68.3,79,61.2,66.3,56,61.1,73.6
08:32:00,99,61.7,71.6,79,61.6,73.3,62,60.5,69.2
08:32:10,98,60.7,66.4,82,60.8,69.4,65,61.5,71.8
08:32:20,94,60.6,69.1,87,60.9,70.2,61,61.2,70.4
08:32:30,108,62.6,70.5,88,62.6,72.4,65,61.1,67.3
08:32:40,129,61.9,71.2,115,63.6,78.2,83,62.7,74.0
08:32:50,154,61.5,73.1,127,63.0,74.8,93,61.7,69.5
08:33:00,175,62.1,73.8,151,61.4,67.1,104,61.8,73.6
08:33:10,200,62.9,75.7,171,62.8,72.9,129,63.5,79.8
08:33:20,234,62.1,73.4,190,63.1,74.1,143,62.6,73.0
08:33:30,251,63.3,78.2,216,61.8,70.2,149,62.3,73.1
08:33:40,263,62.0,70.9,228,120.7,614.6,171,61.4,71.6
08:33:50,280,62.2,71.2,270,122.6,673.4,184,63.0,78.7
08:34:00,332,111.5,483.0,265,62.5,73.7,191,61.7,69.7
08:34:10,335,100.6,252.7,278,103.7,314.6,199,191.4,803.4
08:34:20,370,65.2,77.1,324,81.7,166.1,229,64.8,78.9
08:34:30,389,66.9,83.9,332,65.7,77.5,247,65.0,78.6
08:34:40,426,67.0,93.3,370,65.8,83.5,254,109.4,410.5
08:34:50,445,65.3,81.4,362,151.0,669.8,274,65.1,81.8
08:35:00,453,68.2,95.7,406,88.7,215.1,290,65.4,78.5
08:35:10,503,74.7,122.7,411,160.5,816.1,315,84.6,151.1
08:35:20,501,102.7,320.5,451,67.9,96.2,317,66.1,80.1
08:35:30,498,96.3,237.5,454,112.0,474.6,329,65.9,83.6
08:35:40,536,252.0,861.0,485,69.8,105.6,354,65.4,78.7
08:35:50,510,112.1,377.1,458,70.7,102.2,326,69.2,101.3
