timestamp,cluster1_count,cluster1_avg_ms,cluster1_p95_ms,cluster2_count,cluster2_avg_ms,cluster2_p95_ms,cluster3_count,cluster3_avg_ms,cluster3_p95_ms
10:27:30,20,0.0,0.0,17,0.0,0.0,13,0.0,0.0
10:27:50,8,0.0,0.0,7,0.0,0.0,5,0.0,0.0
10:28:00,12,0.0,0.0,10,0.0,0.0,8,0.0,0.0
10:28:20,20,0.0,0.0,17,0.0,0.0,13,0.0,0.0
10:28:40,19,0.0,0.0,17,0.0,0.0,13,0.0,0.0
10:28:50,1,0.0,0.0,0,0,0,0,0,0
10:29:00,13,0.0,0.0,11,0.0,0.0,7,0.0,0.0
10:29:10,7,0.0,0.0,6,0.0,0.0,6,0.0,0.0
10:29:20,1,0.0,0.0,2,0.0,0.0,2,0.0,0.0
10:29:30,19,0.0,0.0,15,0.0,0.0,11,0.0,0.0
10:29:50,20,0.0,0.0,17,0.0,0.0,13,0.0,0.0
10:30:10,15,0.0,0.0,13,0.0,0.0,11,0.0,0.0
10:30:20,5,0.0,0.0,4,0.0,0.0,2,0.0,0.0
10:30:30,7,0.0,0.0,5,0.0,0.0,3,0.0,0.0
10:30:40,19,0.0,0.0,18,0.0,0.0,13,0.0,0.0
10:30:50,7,0.0,0.0,5,0.0,0.0,4,0.0,0.0
10:31:00,27,0.0,0.0,25,0.0,0.0,17,0.0,0.0
10:31:10,8,0.0,0.0,8,0.0,0.0,6,0.0,0.0
10:31:20,29,0.0,0.0,23,0.0,0.0,20,0.0,0.0
10:31:30,18,0.0,0.0,15,0.0,0.0,9,0.0,0.0
10:31:40,24,0.0,0.0,20,0.0,0.0,13,0.0,0.0
10:31:50,29,0.0,0.0,27,0.0,0.0,20,0.0,0.0
10:32:00,20,0.0,0.0,21,0.0,0.0,12,0.0,0.0
10:32:10,40,0.0,0.0,32,0.0,0.0,24,0.0,0.0
10:32:20,22,0.0,0.0,20,0.0,0.0,16,0.0,0.0
10:32:30,44,0.0,0.0,39,0.0,0.0,25,0.0,0.0
10:32:40,28,0.0,0.0,25,0.0,0.0,21,0.0,0.0
10:32:50,40,0.0,0.0,35,0.0,0.0,25,0.0,0.0
10:33:00,41,0.0,0.0,34,0.0,0.0,25,0.0,0.0
10:33:10,39,0.0,0.0,35,0.0,0.0,20,0.0,0.0
10:33:20,52,0.0,0.0,42,0.0,0.0,35,0.0,0.0
10:33:30,34,0.0,0.0,31,0.0,0.0,23,0.0,0.0
10:33:40,55,0.0,0.0,44,0.0,0.0,30,0.0,0.0
10:33:50,32,0.0,0.0,32,0.0,0.0,25,0.0,0.0
10:34:00,51,0.0,0.0,42,0.0,0.0,29,0.0,0.0
10:34:10,39,0.0,0.0,36,0.0,0.0,28,0.0,0.0
10:34:20,39,0.0,0.0,38,0.0,0.0,23,0.0,0.0
10:34:30,52,0.0,0.0,39,0.0,0.0,33,0.0,0.0
10:34:40,34,0.0,0.0,34,0.0,0.0,21,0.0,0.0
10:34:50,54,0.0,0.0,44,0.0,0.0,34,0.0,0.0
10:35:00,33,0.0,0.0,29,0.0,0.0,23,0.0,0.0
10:35:10,51,0.0,0.0,43,0.0,0.0,29,0.0,0.0
10:35:20,41,0.0,0.0,38,0.0,0.0,27,0.0,0.0
10:35:30,38,0.0,0.0,37,0.0,0.0,26,0.0,0.0
