cluster,region,requests,failures,fail_pct,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms
cluster1,DE,4244,0,0.0,0.0,0.0,0.0,0.0,0.0
cluster2,FR,3709,0,0.0,0.0,0.0,0.0,0.0,0.0
cluster3,PL,2651,0,0.0,0.0,0.0,0.0,0.0,0.0
